scenario,alpha,beta,budget,rho,bBU,bBM,u_A_inf,m_A_inf,u_B_inf,m_B_inf,L_B,C,state
用户更依赖商户,1.0,0.6,0.8,0.08,0.064,0.7360000000000001,0.09968590526522654,0.05874182049561046,0.9003140947347734,0.9412581795043895,0.9207861371195815,0.841572274239163,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.09,0.072,0.7280000000000001,0.0984463360652166,0.05949812398427175,0.9015536639347834,0.9405018760157282,0.9210277699752558,0.8420555399505116,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.1,0.08000000000000002,0.7200000000000001,0.09722635430818088,0.06026680686096688,0.9027736456918192,0.9397331931390331,0.9212534194154262,0.8425068388308523,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.11,0.08800000000000001,0.7120000000000001,0.09602570206786115,0.06104805428863805,0.9039742979321388,0.938951945711362,0.9214631218217504,0.8429262436435008,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.12,0.096,0.7040000000000001,0.09484412440013613,0.061842054132070126,0.9051558755998639,0.9381579458679299,0.9216569107338969,0.8433138214677938,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.13,0.10400000000000001,0.6960000000000001,0.09368136935798364,0.06264899698702882,0.9063186306420163,0.9373510030129711,0.9218348168274938,0.8436696336549876,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.14,0.11200000000000002,0.6880000000000001,0.09253718800415607,0.06346907620918418,0.9074628119958439,0.9365309237908158,0.9219968678933299,0.8439937357866598,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.15,0.12,0.68,0.09141133442170046,0.06430248794279524,0.9085886655782995,0.9356975120572047,0.9221430888177522,0.8442861776355043,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.16,0.128,0.672,0.09030356572237393,0.06514943114908174,0.909696434277626,0.9348505688509182,0.9222735015642721,0.8445470031285444,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.17,0.136,0.664,0.0892136420534299,0.06601010763448316,0.9107863579465701,0.9339898923655169,0.9223881251560435,0.8447762503120869,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.18,0.144,0.6560000000000001,0.08814132647596383,0.0668847219958284,0.9118586735240362,0.9331152780041716,0.9224869757641039,0.8449739515282078,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.19,0.15200000000000002,0.6480000000000001,0.08708638528519483,0.06777348185363782,0.9129136147148051,0.9322265181463621,0.9225700664305837,0.8451401328611673,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.2,0.16000000000000003,0.6400000000000001,0.0860485878836806,0.06867659779851724,0.9139514121163194,0.9313234022014828,0.9226374071589011,0.8452748143178022,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.21,0.168,0.6320000000000001,0.08502770656984325,0.06959428327812663,0.9149722934301567,0.9304057167218733,0.922689005076015,0.8453780101520301,平台B锁定
