lambda_q,decay,strategy,final_A_user_share,final_A_merchant_share,final_B_user_share,final_B_merchant_share,final_B_average_share,final_quality_B,max_shortage,avg_shortage,profit,state
0.02,0.02,纯质量投资,0.49926171825356797,0.12168171197566834,0.5007382817464321,0.8783182880243317,0.6895282848853819,0.798022942306388,9.9999980000002,1.2287814851722167,-34.34006449129629,市场倾斜
0.02,0.04,贪心策略,0.87613672078357,0.775395792947773,0.12386327921643003,0.22460420705222695,0.1742337431343285,0.03999975716699421,9.9999980000002,1.0354030590213226,-37.10733014597432,市场倾斜
0.02,0.04,长期策略,0.6714773176818687,0.3918880223908571,0.3285226823181313,0.6081119776091428,0.46831732996363706,0.1199992715009827,9.9999980000002,0.7895797401705068,-13.82159474598772,市场倾斜
0.02,0.04,动态策略,0.6035283669132582,0.2641381814254648,0.3964716330867418,0.7358618185745351,0.5661667258306384,0.07999951433398841,9.9999980000002,0.7655901202024407,15.157775749933588,市场倾斜
0.02,0.04,纯质量投资,0.7025356602103326,0.4496022041323112,0.29746433978966735,0.5503977958676888,0.42393106782867807,0.39999757166994226,9.9999980000002,0.7714665631833929,-58.698259222329675,市场倾斜
0.05,0.005,贪心策略,0.49492888247615746,0.1454441874200305,0.5050711175238425,0.8545558125799695,0.679813465051906,0.6215293438459598,9.9999980000002,1.482249627129958,-22.73937351124684,市场倾斜
0.05,0.005,长期策略,0.3685832863850835,0.005072935172114155,0.6314167136149165,0.9949270648278858,0.8131718892214012,1.8645880315378829,9.9999980000002,1.997060055928254,35.681779854329626,市场倾斜
0.05,0.005,动态策略,0.4067805445825534,0.014400497345165315,0.5932194554174466,0.9855995026548346,0.7894094790361406,1.2430586876919196,9.9999980000002,1.5621957933424244,44.26965030570283,市场倾斜
0.05,0.005,纯质量投资,0.32458268177864225,0.000857631715803271,0.6754173182213578,0.9991423682841968,0.8372798432527773,3.0,9.9999980000002,3.1010003543581117,28.726365301799618,市场倾斜
0.05,0.01,贪心策略,0.6119999584339862,0.32367337634251087,0.38800004156601375,0.6763266236574892,0.5321633326117514,0.38010010815055967,9.9999980000002,1.305657070730694,-27.804133012975853,市场倾斜
0.05,0.01,长期策略,0.4144299179040292,0.024888689170061016,0.5855700820959708,0.975111310829939,0.7803406964629549,1.140300324451682,9.9999980000002,1.6724228110058377,31.656378035706734,市场倾斜
0.05,0.01,动态策略,0.4461985728010842,0.04274412592376209,0.5538014271989158,0.9572558740762379,0.7555286506375769,0.7602002163011193,9.9999980000002,1.3390812807633112,41.232617794300225,市场倾斜
0.05,0.01,纯质量投资,0.32458268177864225,0.000857631715803271,0.6754173182213578,0.9991423682841968,0.8372798432527773,3.0,9.9999980000002,3.0031818049583694,25.50795423151626,市场倾斜
0.05,0.02,贪心策略,0.7852176049238424,0.6151148225045997,0.2147823950761576,0.3848851774954003,0.29983378628577895,0.199505735576597,9.9999980000002,1.1358339999261953,-32.73858047119205,市场倾斜
0.05,0.02,长期策略,0.478326861729165,0.08976231658575042,0.5216731382708351,0.9102376834142496,0.7159554108425423,0.5985172067297889,9.9999980000002,1.3402597821783033,23.922671990247704,市场倾斜
0.05,0.02,动态策略,0.4983080665301859,0.10340276485978034,0.5016919334698141,0.8965972351402196,0.6991445843050168,0.399011471153194,9.9999980000002,1.1098987004810383,35.912168085016354,市场倾斜
0.05,0.02,纯质量投资,0.3752164223261567,0.007527225429933056,0.6247835776738433,0.992472774570067,0.8086281761219551,1.9950573557659692,9.9999980000002,2.263952828383909,17.572803806769887,市场倾斜
0.05,0.04,贪心策略,0.8499640345774896,0.7288353367790429,0.1500359654225104,0.2711646632209571,0.21060031432173376,0.09999939291748557,9.9999980000002,1.0682083843238643,-35.28224599725929,市场倾斜
