setting,network_strength,delta_q,u_inf,m_inf,L_A,success
强网络效应 alpha=beta=3.0,3.0,4.3500000000000005,0.999999430667082,0.999999430667082,0.999999430667082,1
强网络效应 alpha=beta=3.0,3.0,4.4,0.9999994878708882,0.9999994878708882,0.9999994878708882,1
强网络效应 alpha=beta=3.0,3.0,4.45,0.9999994866935001,0.9999994866935001,0.9999994866935001,1
强网络效应 alpha=beta=3.0,3.0,4.5,0.9999995176215474,0.9999995176215474,0.9999995176215474,1
强网络效应 alpha=beta=3.0,3.0,4.55,0.9999996157863827,0.9999996157863827,0.9999996157863827,1
强网络效应 alpha=beta=3.0,3.0,4.6000000000000005,0.9999995917228915,0.9999995917228915,0.9999995917228915,1
强网络效应 alpha=beta=3.0,3.0,4.65,0.9999997740270293,0.9999997740270293,0.9999997740270293,1
强网络效应 alpha=beta=3.0,3.0,4.7,0.9999996584050796,0.9999996584050796,0.9999996584050796,1
强网络效应 alpha=beta=3.0,3.0,4.75,0.9999997146240962,0.9999997146240962,0.9999997146240962,1
强网络效应 alpha=beta=3.0,3.0,4.800000000000001,0.9999998217405504,0.9999998217405504,0.9999998217405504,1
强网络效应 alpha=beta=3.0,3.0,4.8500000000000005,0.9999997355173588,0.9999997355173588,0.9999997355173588,1
强网络效应 alpha=beta=3.0,3.0,4.9,0.9999997675168321,0.9999997675168321,0.9999997675168321,1
强网络效应 alpha=beta=3.0,3.0,4.95,0.999999909249734,0.999999909249734,0.999999909249734,1
强网络效应 alpha=beta=3.0,3.0,5.0,0.9999998913802202,0.9999998913802202,0.9999998913802202,1
