budget,rho,user_subsidy_initial,merchant_subsidy_initial,final_x,final_y,combined_share,concentration,cum_profit,directional_state
0.25,0.04,0.01,0.24,0.0070385176754045225,0.013455581155835157,0.01024704941561984,0.9795059011687604,3.3523940841941076,平台B锁定
0.25,0.06,0.015,0.235,0.007039476719254149,0.013453593252185397,0.010246534985719773,0.9795069300285604,3.3461377375777963,平台B锁定
0.25,0.08,0.02,0.23,0.007040435916532223,0.013451605663858201,0.010246020790195213,0.9795079584196096,3.339994615166267,平台B锁定
0.25,0.1,0.025,0.225,0.007041395267262441,0.013449618390802469,0.010245506829032455,0.9795089863419351,3.333963900710504,平台B锁定
0.25,0.12,0.03,0.22,0.007042354771468492,0.013447631432967103,0.010244993102217798,0.9795100137955643,3.3280447975136376,平台B锁定
0.25,0.14,0.035,0.215,0.007043314429174084,0.013445644790301024,0.010244479609737553,0.9795110407805249,3.3222365276141024,平台B锁定
0.25,0.16,0.04,0.21,0.0070442742404029125,0.013443658462753149,0.01024396635157803,0.9795120672968439,3.3165383310080236,平台B锁定
0.25,0.18,0.045,0.20500000000000002,0.007045234205178694,0.013441672450272413,0.010243453327725555,0.9795130933445488,3.3109494649088673,平台B锁定
0.25,0.2,0.05,0.2,0.007046194323525131,0.013439686752807753,0.010242940538166441,0.9795141189236671,3.3054692030420734,平台B锁定
0.25,0.22,0.055,0.195,0.007047154595465949,0.013437701370308126,0.010242427982887038,0.9795151440342259,3.300096834972997,平台B锁定
0.25,0.24,0.06,0.19,0.007048115021024864,0.013435716302722476,0.01024191566187367,0.9795161686762526,3.2948316654660963,平台B锁定
0.25,0.26,0.065,0.185,0.007049075600225594,0.013433731549999788,0.010241403575112691,0.9795171928497746,3.289673013873835,平台B锁定
0.25,0.28,0.07,0.18,0.007050036333091878,0.01343174711208903,0.010240891722590455,0.9795182165548191,3.2846202135537332,平台B锁定
0.25,0.3,0.075,0.175,0.007050997219647441,0.013429762988939187,0.010240380104293314,0.9795192397914134,3.279672611311917,平台B锁定
0.25,0.32,0.08,0.16999999999999998,0.007051958259916022,0.013427779180499252,0.010239868720207638,0.9795202625595847,3.274829566871787,平台B锁定
0.25,0.34,0.085,0.16499999999999998,0.00705291945392136,0.013425795686718232,0.010239357570319796,0.9795212848593604,3.2700904523666328,平台B锁定
0.25,0.36,0.09,0.16,0.007053880801687196,0.01342381250754513,0.010238846654616163,0.9795223066907677,3.2654546518546708,平台B锁定
0.25,0.38,0.095,0.155,0.007054842303237284,0.013421829642928979,0.010238335973083131,0.9795233280538338,3.2609215608554982,平台B锁定
0.25,0.4,0.1,0.15,0.007055803958595374,0.0134198470928188,0.010237825525707088,0.9795243489485859,3.256490585906789,平台B锁定
0.25,0.42,0.105,0.14500000000000002,0.007056765767785223,0.013417864857163633,0.010237315312474429,0.9795253693750512,3.252161144140165,平台B锁定
0.25,0.44,0.11,0.14,0.0070577277308305885,0.013415882935912527,0.010236805333371558,0.9795263893332569,3.2479326628752476,平台B锁定
0.25,0.46,0.115,0.135,0.0070586898477552375,0.013413901329014537,0.010236295588384887,0.9795274088232302,3.243804579230933,平台B锁定
0.25,0.48,0.12,0.13,0.00705965211858294,0.013411920036418725,0.010235786077500832,0.9795284278449983,3.2397763397531216,平台B锁定
0.25,0.5,0.125,0.125,0.0070606145433374625,0.013409939058074168,0.010235276800705816,0.9795294463985884,3.235847400057744,平台B锁定
0.25,0.52,0.13,0.12,0.007061577122042587,0.013407958393929944,0.010234767757986266,0.9795304644840275,3.232017224488747,平台B锁定
0.25,0.54,0.135,0.11499999999999999,0.007062539854722093,0.013405978043935151,0.010234258949328622,0.9795314821013428,3.2282852857899265,平台B锁定
0.25,0.56,0.14,0.10999999999999999,0.007063502741399764,0.013403998008038879,0.010233750374719321,0.9795324992505614,3.22465106479002,平台B锁定
0.25,0.58,0.145,0.10500000000000001,0.007064465782099386,0.01340201828619025,0.010233242034144819,0.9795335159317103,3.2211140501004425,平台B锁定
0.25,0.6,0.15,0.1,0.007065428976844759,0.013400038878338377,0.010232733927591569,0.9795345321448168,3.217673737825019,平台B锁定
0.25,0.62,0.155,0.095,0.007066392325659674,0.01339805978443238,0.010232226055046027,0.9795355478899079,3.2143296312810214,平台B锁定
0.25,0.64,0.16,0.09,0.007067355828567932,0.013396081004421403,0.010231718416494668,0.9795365631670107,3.211081240731139,平台B锁定
0.25,0.66,0.165,0.08499999999999999,0.007068319485593339,0.013394102538254588,0.010231211011923964,0.9795375779761522,3.2079280831256325,平台B锁定
