step,u_A,m_A,L_A,seed,C,market_size,n_users,n_merchants
12,0.0,0.0,0.0,202697,1.0,150,100,50
13,0.0,0.0,0.0,202697,1.0,150,100,50
14,0.0,0.0,0.0,202697,1.0,150,100,50
15,0.0,0.0,0.0,202697,1.0,150,100,50
16,0.0,0.0,0.0,202697,1.0,150,100,50
17,0.0,0.0,0.0,202697,1.0,150,100,50
18,0.0,0.0,0.0,202697,1.0,150,100,50
19,0.0,0.0,0.0,202697,1.0,150,100,50
20,0.01,0.0,0.005,202697,0.9900500000000001,150,100,50
21,0.0,0.0,0.0,202697,1.0,150,100,50
22,0.0,0.0,0.0,202697,1.0,150,100,50
23,0.0,0.02,0.01,202697,0.9802,150,100,50
24,0.0,0.0,0.0,202697,1.0,150,100,50
25,0.0,0.0,0.0,202697,1.0,150,100,50
26,0.0,0.0,0.0,202697,1.0,150,100,50
27,0.0,0.0,0.0,202697,1.0,150,100,50
28,0.01,0.0,0.005,202697,0.9900500000000001,150,100,50
29,0.0,0.0,0.0,202697,1.0,150,100,50
30,0.0,0.02,0.01,202697,0.9802,150,100,50
31,0.0,0.0,0.0,202697,1.0,150,100,50
32,0.0,0.0,0.0,202697,1.0,150,100,50
33,0.0,0.02,0.01,202697,0.9802,150,100,50
34,0.01,0.0,0.005,202697,0.9900500000000001,150,100,50
35,0.0,0.0,0.0,202697,1.0,150,100,50
36,0.0,0.0,0.0,202697,1.0,150,100,50
37,0.0,0.0,0.0,202697,1.0,150,100,50
38,0.01,0.0,0.005,202697,0.9900500000000001,150,100,50
39,0.02,0.0,0.01,202697,0.9802,150,100,50
40,0.01,0.0,0.005,202697,0.9900500000000001,150,100,50
41,0.0,0.0,0.0,202697,1.0,150,100,50
42,0.0,0.04,0.02,202697,0.9607999999999999,150,100,50
43,0.0,0.0,0.0,202697,1.0,150,100,50
44,0.0,0.0,0.0,202697,1.0,150,100,50
45,0.0,0.0,0.0,202697,1.0,150,100,50
46,0.0,0.0,0.0,202697,1.0,150,100,50
47,0.01,0.0,0.005,202697,0.9900500000000001,150,100,50
48,0.0,0.0,0.0,202697,1.0,150,100,50
49,0.01,0.0,0.005,202697,0.9900500000000001,150,100,50
50,0.0,0.0,0.0,202697,1.0,150,100,50
51,0.01,0.0,0.005,202697,0.9900500000000001,150,100,50
52,0.0,0.0,0.0,202697,1.0,150,100,50
53,0.0,0.0,0.0,202697,1.0,150,100,50
54,0.01,0.0,0.005,202697,0.9900500000000001,150,100,50
55,0.0,0.0,0.0,202697,1.0,150,100,50
56,0.0,0.0,0.0,202697,1.0,150,100,50
57,0.0,0.0,0.0,202697,1.0,150,100,50
58,0.0,0.0,0.0,202697,1.0,150,100,50
59,0.0,0.0,0.0,202697,1.0,150,100,50
60,0.0,0.0,0.0,202697,1.0,150,100,50
0,0.5,0.5,0.5,202698,0.5,150,100,50
1,0.48,0.5,0.49,202698,0.5002,150,100,50
2,0.24,0.22,0.22999999999999998,202698,0.6457999999999999,150,100,50
3,0.02,0.08,0.05,202698,0.9049999999999999,150,100,50
