u_A,merchant_A_presence,merchant_B_presence,merchant_A_only,merchant_B_only,merchant_multi,L_A,concentration,total_subsidy_spend,step,seed,experiment,version,removed_mechanism,u0,m0,subsidy_policy,allow_multi_home,multi_home_share
0.9533333333333334,0.728,0.19466666666666668,0.5733333333333334,0.04,0.38666666666666666,0.8406666666666667,0.7321075555555556,3780.0,27,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9433333333333334,0.7586666666666666,0.17866666666666667,0.6333333333333333,0.05333333333333334,0.31333333333333335,0.851,0.746402,3920.0,28,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.95,0.7373333333333333,0.19733333333333333,0.6066666666666667,0.06666666666666667,0.32666666666666666,0.8436666666666666,0.7362135555555553,4060.0,29,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9433333333333334,0.6906666666666667,0.224,0.52,0.05333333333333334,0.4266666666666667,0.817,0.7009779999999999,4200.0,30,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9433333333333334,0.6880000000000001,0.228,0.52,0.06,0.42,0.8156666666666668,0.6992908888888889,4340.0,31,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9266666666666666,0.7053333333333334,0.2186666666666667,0.5533333333333333,0.06666666666666667,0.38,0.8160000000000001,0.6997120000000001,4480.0,32,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9033333333333333,0.7333333333333333,0.19333333333333333,0.5866666666666667,0.04666666666666667,0.36666666666666664,0.8183333333333334,0.7026722222222221,4620.0,33,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.93,0.732,0.192,0.58,0.04,0.38,0.831,0.719122,4760.0,34,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9333333333333333,0.732,0.19866666666666666,0.5933333333333334,0.06,0.3466666666666667,0.8326666666666667,0.7213342222222223,4900.0,35,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.95,0.724,0.21066666666666667,0.5933333333333334,0.08,0.32666666666666666,0.837,0.7271380000000001,5040.0,36,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.95,0.752,0.17866666666666667,0.6133333333333333,0.04,0.3466666666666667,0.851,0.746402,5180.0,37,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9666666666666667,0.7546666666666667,0.18133333333333335,0.6266666666666667,0.05333333333333334,0.32,0.8606666666666667,0.7601608888888889,5320.0,38,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
