multi_home_cost,rho,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share
0.2,0.5,5409,0.43625,0.1275,coexist,0.0,,0.0,0.0,0.4
0.2,0.5,5410,0.46375,0.07250000000000001,coexist,0.0,,0.0,0.0,0.65
0.2,0.5,5411,0.5587500000000001,0.11750000000000005,coexist,0.0,,0.0,0.0,0.65
0.2,0.5,5412,0.50125,0.04750000000000004,coexist,0.0,,0.0,0.0,0.55
0.2,0.5,5413,0.56875,0.13749999999999996,coexist,0.0,,0.0,0.0,0.3
0.2,0.5,5414,0.53625,0.07250000000000001,coexist,0.0,,0.0,0.0,0.7
0.2,0.5,5415,0.5237499999999999,0.04749999999999999,coexist,0.0,,0.0,0.0,0.7
0.2,0.5,5416,0.56125,0.12250000000000005,coexist,0.0,,0.0,0.0,0.6
0.2,0.5,5417,0.46875,0.1875,coexist,0.0,,0.0,0.0,0.55
0.2,0.5,5418,0.50375,0.04250000000000004,coexist,0.0,,0.0,0.0,0.55
0.2,0.5,5419,0.385,0.23000000000000004,tilted,0.0,,0.0,0.0,0.4
0.2,0.5,5420,0.4075,0.185,coexist,0.0,,0.0,0.0,0.35
0.2,0.5,5421,0.5549999999999999,0.10999999999999999,coexist,0.0,,0.0,0.0,0.45
0.2,0.5,5422,0.43875,0.1225,coexist,0.0,,0.0,0.0,0.4
0.2,0.5,5423,0.52375,0.05250000000000005,coexist,0.0,,0.0,0.0,0.5
0.2,0.5,5424,0.4325,0.13499999999999995,coexist,0.0,,0.0,0.0,0.8
0.2,0.5,5425,0.53,0.06000000000000005,coexist,0.0,,0.0,0.0,0.5
0.2,0.5,5426,0.6025,0.20499999999999996,tilted,0.0,,0.0,0.0,0.4
0.2,0.5,5427,0.48375,0.03250000000000003,coexist,0.0,,0.0,0.0,0.55
0.2,0.5,5428,0.44875,0.10249999999999998,coexist,0.0,,0.0,0.0,0.5
0.2,0.5,5429,0.52625,0.05249999999999999,coexist,0.0,,0.0,0.0,0.7
0.5,0.5,5400,0.5525,0.10499999999999998,coexist,0.0,,0.0,0.0,0.35
0.5,0.5,5401,0.53,0.08999999999999997,coexist,0.0,,0.0,0.0,0.35
0.5,0.5,5402,0.415,0.17000000000000004,coexist,0.0,,0.0,0.0,0.15
0.5,0.5,5403,0.56,0.12,coexist,0.0,,0.0,0.0,0.5
0.5,0.5,5404,0.47125,0.14249999999999996,coexist,0.0,,0.0,0.0,0.4
0.5,0.5,5405,0.51125,0.07750000000000007,coexist,0.0,,0.0,0.0,0.3
0.5,0.5,5406,0.40625,0.1875,coexist,0.0,,0.0,0.0,0.4
0.5,0.5,5407,0.5525,0.10499999999999998,coexist,0.0,,0.0,0.0,0.3
0.5,0.5,5408,0.4525,0.15500000000000003,coexist,0.0,,0.0,0.0,0.25
0.5,0.5,5409,0.43125,0.1375,coexist,0.0,,0.0,0.0,0.25
0.5,0.5,5410,0.4075,0.185,coexist,0.0,,0.0,0.0,0.45
0.5,0.5,5411,0.46875,0.1875,coexist,0.0,,0.0,0.0,0.35
0.5,0.5,5412,0.395,0.20999999999999996,tilted,0.0,,0.0,0.0,0.25
0.5,0.5,5413,0.53375,0.08249999999999996,coexist,0.0,,0.0,0.0,0.25
0.5,0.5,5414,0.5625,0.125,coexist,0.0,,0.0,0.0,0.55
0.5,0.5,5415,0.44875,0.10249999999999998,coexist,0.0,,0.0,0.0,0.6
0.5,0.5,5416,0.55375,0.10749999999999993,coexist,0.0,,0.0,0.0,0.55
0.5,0.5,5417,0.42874999999999996,0.20749999999999996,tilted,0.0,,0.0,0.0,0.25
