u_A,merchant_A_presence,merchant_B_presence,merchant_A_only,merchant_B_only,merchant_multi,L_A,concentration,total_subsidy_spend,shortage_A,shortage_B,q_B,step,seed,period_profit_B,discounted_profit_B,period_user_subsidy_spend,period_merchant_subsidy_spend,period_quality_investment,experiment,version,removed_mechanism,strategy,strategy_label,u0,m0,budget,subsidy_policy,final_L_B,b_break_60,lock_state,b_lock,total_user_subsidy,total_merchant_subsidy,total_quality_investment,max_shortage_B,avg_shortage_B,total_spend
0.0,0.4,0.6,0.4,0.6,0.0,0.2,0.6,168.15999999999934,13.529411211072677,0.0,0.8000235887611798,300,7902,5.2,127.33824302540499,0.48,0.16000000000000003,0.16000000000000003,optimal_strategy_ablation,replace by dynamic,长期固定配比改为动态配比,targeted_dynamic,replace by dynamic,0.8,0.8,0.8,two_sided_targeted,0.8,1.0,tilted,0.0,71.84,96.32000000000001,48.00000000000001,47.142853877551204,10.579601089636034,216.16000000000003
0.205,0.3,0.7,0.3,0.7,0.0,0.2525,0.49500000000000005,163.5200000000005,0.0,0.0,1.1999999999996729,300,7908,4.765,281.25536159299753,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o supply penalty,去掉供给不足惩罚,targeted_long_term,w/o supply penalty,0.8,0.8,0.8,two_sided_targeted,0.7475,1.0,tilted,0.0,72.0,91.52000000000002,72.0,0.0,0.0,235.52000000000004
0.2125,0.05,0.95,0.05,0.95,0.0,0.13125,0.7375,166.7200000000005,0.0,0.0,1.1999999999933095,300,7907,6.6812499999999995,257.173027240677,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o supply penalty,去掉供给不足惩罚,targeted_long_term,w/o supply penalty,0.8,0.8,0.8,two_sided_targeted,0.86875,1.0,tilted,0.0,72.0,94.72000000000001,72.0,0.0,0.0,238.72000000000003
0.175,0.2,0.8,0.2,0.8,0.0,0.1875,0.625,166.40000000000052,0.0,0.0,1.19999999999999,300,7910,5.800000000000001,255.29674955216123,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o supply penalty,去掉供给不足惩罚,targeted_long_term,w/o supply penalty,0.8,0.8,0.8,two_sided_targeted,0.8125,1.0,tilted,0.0,72.0,94.40000000000002,72.0,0.0,0.0,238.40000000000003
0.2275,0.2,0.8,0.2,0.8,0.0,0.21375,0.5725,166.7200000000005,0.0,0.0,1.1999999999999844,300,7909,5.38,277.79778023693973,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o supply penalty,去掉供给不足惩罚,targeted_long_term,w/o supply penalty,0.8,0.8,0.8,two_sided_targeted,0.78625,1.0,tilted,0.0,72.0,94.72000000000001,72.0,0.0,0.0,238.72000000000003
0.16,0.2,0.8,0.2,0.8,0.0,0.18,0.6399999999999999,166.7200000000005,0.0,0.0,1.1999999432688118,300,7904,5.920000000000001,267.3011071984778,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o supply penalty,去掉供给不足惩罚,targeted_long_term,w/o supply penalty,0.8,0.8,0.8,two_sided_targeted,0.8200000000000001,1.0,tilted,0.0,72.0,94.72000000000001,72.0,0.0,0.0,238.72000000000003
0.21,0.25,0.75,0.25,0.75,0.0,0.22999999999999998,0.54,165.44000000000048,0.0,0.0,1.1999988431860629,300,7903,5.125000000000001,274.40413191988483,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o supply penalty,去掉供给不足惩罚,targeted_long_term,w/o supply penalty,0.8,0.8,0.8,two_sided_targeted,0.77,1.0,tilted,0.0,72.0,93.44000000000001,72.0,0.0,0.0,237.44
0.1825,0.1,0.9,0.1,0.9,0.0,0.14125,0.7175,167.0400000000005,0.0,0.0,1.1999999998635624,300,7906,6.557500000000001,272.72446716450406,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o supply penalty,去掉供给不足惩罚,targeted_long_term,w/o supply penalty,0.8,0.8,0.8,two_sided_targeted,0.85875,1.0,tilted,0.0,72.0,95.04000000000002,72.0,0.0,0.0,239.04000000000002
0.1975,0.05,0.95,0.05,0.95,0.0,0.12375,0.7525,165.12000000000052,0.0,0.0,1.199999997217853,300,7905,6.82375,265.5517677533273,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o supply penalty,去掉供给不足惩罚,targeted_long_term,w/o supply penalty,0.8,0.8,0.8,two_sided_targeted,0.87625,1.0,tilted,0.0,72.0,93.12000000000002,72.0,0.0,0.0,237.12
0.0,0.1,0.9,0.1,0.9,0.0,0.05,0.9,168.31999999999934,16.666665955555576,0.0,0.8000196307257742,300,7913,8.2,135.8250633771095,0.48,0.16000000000000003,0.16000000000000003,optimal_strategy_ablation,replace by dynamic,长期固定配比改为动态配比,targeted_dynamic,replace by dynamic,0.8,0.8,0.8,two_sided_targeted,0.95,1.0,B_lock,1.0,72.0,96.32000000000001,48.00000000000001,34.444442469135886,9.252212628976167,216.32
