step,u_A,m_A,L_A,seed,C,scenario,scenario_label
47,0.9966666666666667,0.9966666666666667,0.9966666666666667,202602,0.9933555555555555,strong_A_adv,强网络效应，A初始略占优
48,0.9966666666666667,0.9966666666666667,0.9966666666666667,202602,0.9933555555555555,strong_A_adv,强网络效应，A初始略占优
49,0.9966666666666667,1.0,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
50,0.9966666666666667,1.0,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
51,1.0,1.0,1.0,202602,1.0,strong_A_adv,强网络效应，A初始略占优
52,1.0,1.0,1.0,202602,1.0,strong_A_adv,强网络效应，A初始略占优
53,0.9983333333333333,1.0,0.9991666666666666,202602,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
54,0.9983333333333333,0.9966666666666667,0.9975,202602,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
55,1.0,0.9966666666666667,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
56,0.9983333333333333,1.0,0.9991666666666666,202602,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
57,1.0,1.0,1.0,202602,1.0,strong_A_adv,强网络效应，A初始略占优
58,1.0,0.9966666666666667,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
59,0.9983333333333333,1.0,0.9991666666666666,202602,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
60,0.9966666666666667,1.0,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
61,0.9983333333333333,0.9966666666666667,0.9975,202602,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
62,1.0,0.9966666666666667,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
63,1.0,1.0,1.0,202602,1.0,strong_A_adv,强网络效应，A初始略占优
64,1.0,0.9966666666666667,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
65,0.9983333333333333,1.0,0.9991666666666666,202602,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
66,1.0,1.0,1.0,202602,1.0,strong_A_adv,强网络效应，A初始略占优
67,1.0,1.0,1.0,202602,1.0,strong_A_adv,强网络效应，A初始略占优
68,0.9983333333333333,0.9966666666666667,0.9975,202602,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
69,0.9966666666666667,1.0,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
70,0.9966666666666667,0.9966666666666667,0.9966666666666667,202602,0.9933555555555555,strong_A_adv,强网络效应，A初始略占优
71,1.0,1.0,1.0,202602,1.0,strong_A_adv,强网络效应，A初始略占优
72,0.9983333333333333,0.9933333333333333,0.9958333333333333,202602,0.9917013888888888,strong_A_adv,强网络效应，A初始略占优
73,0.9966666666666667,0.9966666666666667,0.9966666666666667,202602,0.9933555555555555,strong_A_adv,强网络效应，A初始略占优
74,0.9983333333333333,0.9966666666666667,0.9975,202602,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
75,0.9983333333333333,0.9966666666666667,0.9975,202602,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
76,0.9983333333333333,1.0,0.9991666666666666,202602,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
77,0.9983333333333333,1.0,0.9991666666666666,202602,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
78,1.0,0.9966666666666667,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
79,0.995,1.0,0.9975,202602,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
80,0.995,0.9966666666666667,0.9958333333333333,202602,0.9917013888888888,strong_A_adv,强网络效应，A初始略占优
